"","nutrient","mgL","belowLimit"
"552","NH4",0.01,TRUE
"553","NO2",0.008,TRUE
"554","NO3",6.8,FALSE
"555","PO4",0.02,TRUE
"556","K",1,TRUE
"557","Ca",53,FALSE
"558","Mg",14,FALSE
"559","SO4",21,FALSE
"560","Fe",0.01,TRUE
"561","Cu",0.001,TRUE
"562","Mn",0.01,TRUE
"563","Ni",0.002,TRUE
"564","Na",2.6,FALSE
"565","Cl",5.7,FALSE
"566","TOC",1.79,FALSE
"567","NH4",0.01,TRUE
"568","NO2",0.008,TRUE
"569","NO3",3.5,FALSE
"570","PO4",0.02,TRUE
"571","K",1,TRUE
"572","Ca",37,FALSE
"573","Mg",7.4,FALSE
"574","SO4",3.6,FALSE
"575","Fe",0.01,TRUE
"576","Cu",0.037,FALSE
"577","Mn",0.01,TRUE
"578","Ni",0.002,TRUE
"579","Na",1,TRUE
"580","Cl",1,TRUE
"581","TOC",0.94,FALSE
"582","NH4",0.05,TRUE
"583","NO2",0.05,TRUE
"584","NO3",6.4,FALSE
"585","PO4",0.04,TRUE
"586","K",1.1,FALSE
"587","Ca",80.5,FALSE
"588","Mg",20.2,FALSE
"589","SO4",16.8,FALSE
"590","Fe",0.02,TRUE
"591","Zn",0.2,TRUE
"592","Cu",0.2,TRUE
"593","Mn",0.005,TRUE
"594","B",0.1,TRUE
"595","Ni",0.002,TRUE
"596","Na",5.4,FALSE
"597","Cl",10.8,FALSE
"598","Al",0.02,TRUE
"599","TOC",0.3,FALSE
"600","NH4",0.16,FALSE
"601","NO2",0.025,FALSE
"602","NO3",1.65,FALSE
"603","PO4",0.07,FALSE
"604","K",2.8,FALSE
"605","Ca",91.6,FALSE
"606","Mg",10.3,FALSE
"607","SO4",10,FALSE
"608","Fe",0.001,TRUE
"609","Cu",0.01,TRUE
"610","Mn",0.002,TRUE
"611","Ni",0.002,TRUE
"612","Na",15.5,FALSE
"613","Cl",19,FALSE
"614","Al",0.02,TRUE
"615","TOC",2.4,FALSE
"616","NH4",0.02,TRUE
"617","NO2",0.005,TRUE
"618","NO3",1.89,FALSE
"619","PO4",0.04,FALSE
"620","K",2.98,FALSE
"621","Ca",106,FALSE
"622","Mg",10.8,FALSE
"623","SO4",48,FALSE
"624","Fe",0.01,TRUE
"625","Cu",0.01,TRUE
"626","Mn",0.002,TRUE
"627","Ni",0.002,TRUE
"628","Na",47.4,FALSE
"629","Cl",62,FALSE
"630","Al",0.02,TRUE
"631","TOC",2.3,FALSE
"632","NH4",0.02,TRUE
"633","NO2",0.11,FALSE
"634","NO3",1.63,FALSE
"635","PO4",0.16,FALSE
"636","K",2.77,FALSE
"637","Ca",66.5,FALSE
"638","Mg",9.4,FALSE
"639","SO4",1.4,FALSE
"640","Fe",0.015,FALSE
"641","Cu",0.01,TRUE
"642","Mn",0.008,TRUE
"643","Ni",0.002,TRUE
"644","Na",15.8,FALSE
"645","Cl",15,FALSE
"646","Al",0.02,TRUE
"647","TOC",2.3,FALSE
"648","NH4",0.068,FALSE
"649","NO2",0.04,FALSE
"650","NO3",2.31,FALSE
"651","PO4",0.03,TRUE
"652","K",4.81,FALSE
"653","Ca",105,FALSE
"654","Mg",15.1,FALSE
"655","SO4",2.4,FALSE
"656","Fe",0.01,TRUE
"657","Cu",0.01,TRUE
"658","Mn",0.002,TRUE
"659","Ni",0.002,TRUE
"660","Na",62.6,FALSE
"661","Cl",117,FALSE
"662","Al",0.02,TRUE
"663","TOC",2.7,FALSE
"664","NH4",0.04,TRUE
"665","NO2",0.03,TRUE
"666","NO3",0.9,FALSE
"667","K",2,FALSE
"668","Ca",57,FALSE
"669","Mg",4.4,FALSE
"670","SO4",21,FALSE
"671","Fe",0.01,TRUE
"672","Cu",0.005,TRUE
"673","Mn",0.01,TRUE
"674","B",0.1,TRUE
"675","Ni",0.001,TRUE
"676","Na",21,FALSE
"677","Cl",26,FALSE
"678","Al",0.1,TRUE
"679","TOC",1,TRUE
"680","NH4",0.04,TRUE
"681","NO2",0.03,TRUE
"682","NO3",0.88,FALSE
"683","K",3.8,FALSE
"684","Ca",43,FALSE
"685","Mg",6.5,FALSE
"686","SO4",10,FALSE
"687","Fe",0.019,FALSE
"688","Cu",0.005,TRUE
"689","Mn",0.01,TRUE
"690","B",0.077,FALSE
"691","Ni",0.001,TRUE
"692","Na",12,FALSE
"693","Cl",20,FALSE
"694","Al",0.01,TRUE
"695","TOC",1,TRUE
"696","NH4",0.05,TRUE
"697","NO2",0.01,TRUE
"698","NO3",12.1,FALSE
"699","PO4",0.01,TRUE
"700","K",1.5,FALSE
"701","Ca",35.9,FALSE
"702","Mg",2.91,FALSE
"703","SO4",26.9,FALSE
"704","Fe",0.02,TRUE
"705","Zn",0.01,TRUE
"706","Cu",0.001,TRUE
"707","Mn",0.005,TRUE
"708","B",0.011,FALSE
"709","Ni",0.002,TRUE
"710","Na",8.6,FALSE
"711","Cl",14.4,FALSE
"712","Al",0.05,TRUE
"713","TOC",1.8,FALSE
"714","NH4",0.05,TRUE
"715","NO2",0.01,TRUE
"716","NO3",13.6,FALSE
"717","PO4",0.088,FALSE
"718","K",5.26,FALSE
"719","Ca",49.3,FALSE
"720","Mg",10.6,FALSE
"721","SO4",73.6,FALSE
"722","Fe",0.02,TRUE
"723","Zn",0.01,TRUE
"724","Cu",0.002,TRUE
"725","Mn",0.005,TRUE
"726","B",0.055,FALSE
"727","Ni",0.002,TRUE
"728","Na",29.2,FALSE
"729","Cl",40.4,FALSE
"730","Al",0.05,TRUE
"731","TOC",1.2,FALSE
"732","NH4",0.05,TRUE
"733","NO2",0.01,TRUE
"734","NO3",14.6,FALSE
"735","PO4",0.01,TRUE
"736","K",5.49,FALSE
"737","Ca",62.4,FALSE
"738","Mg",13.1,FALSE
"739","SO4",94.4,FALSE
"740","Fe",0.02,TRUE
"741","Zn",0.01,TRUE
"742","Cu",0.002,TRUE
"743","Mn",0.005,TRUE
"744","B",0.084,FALSE
"745","Ni",0.002,TRUE
"746","Na",32.6,FALSE
"747","Cl",49.7,FALSE
"748","Al",0.05,TRUE
"749","TOC",1.6,FALSE
"750","NH4",0.01,TRUE
"751","NO2",0.005,TRUE
"752","NO3",4,FALSE
"753","PO4",0.01,TRUE
"754","K",1.4,FALSE
"755","Ca",50,FALSE
"756","Mg",8.5,FALSE
"757","SO4",34,FALSE
"758","Fe",0.0056,FALSE
"759","Cu",0.00042,FALSE
"760","Mn",5e-04,TRUE
"761","B",0.011,FALSE
"762","Mo",0.001,FALSE
"763","Ni",5e-04,TRUE
"764","Na",5.6,FALSE
"765","Cl",7.7,FALSE
"766","Al",0.01,TRUE
"767","TOC",0.93,FALSE
"768","NH4",0.05,TRUE
"769","NO2",0.01,TRUE
"770","NO3",19.4,FALSE
"771","K",2.2,FALSE
"772","Ca",76.3,FALSE
"773","Mg",11.5,FALSE
"774","SO4",27.1,FALSE
"775","Fe",0.02,TRUE
"776","Cu",0.005,TRUE
"777","Mn",0.005,TRUE
"778","B",0.05,TRUE
"779","Ni",0.002,TRUE
"780","Na",10.8,FALSE
"781","Cl",28.3,FALSE
"782","Al",0.005,TRUE
"783","TOC",0.78,FALSE
"784","NH4",0.05,TRUE
"785","NO2",0.01,TRUE
"786","NO3",4.1,FALSE
"787","K",1.4,FALSE
"788","Ca",50.9,FALSE
"789","Mg",8.5,FALSE
"790","SO4",34.8,FALSE
"791","Fe",0.02,TRUE
"792","Cu",0.005,TRUE
"793","Mn",0.005,TRUE
"794","B",0.05,TRUE
"795","Ni",0.002,TRUE
"796","Na",5.7,FALSE
"797","Cl",7.9,FALSE
"798","Al",0.005,TRUE
"799","TOC",0.92,FALSE
"800","NO2",0.01,TRUE
"801","NO3",2.054,FALSE
"802","B",0.01,TRUE
"803","Na",16.9,FALSE
"804","NO2",0.01,TRUE
"805","NO3",1.23766666666667,FALSE
"806","B",0.02,FALSE
"807","Na",35.5,FALSE
"808","NO2",0.01,TRUE
"809","NO3",3.0175,FALSE
"810","B",0.0478,FALSE
"811","Na",228,FALSE
"812","NO2",0.25,TRUE
"813","NO3",0.367,FALSE
"814","PO4",0.06,TRUE
"815","K",1.37,FALSE
"816","Ca",34.2,FALSE
"817","Mg",11.8,FALSE
"818","SO4",23,FALSE
"819","Fe",0.0414,FALSE
"820","Zn",0.00195,FALSE
"821","Cu",0.00272,FALSE
"822","Mn",0.001,TRUE
"823","B",0.0244,FALSE
"824","Mo",0.001,TRUE
"825","Ni",0.00225,FALSE
"826","Na",8.68,FALSE
"827","Cl",14.2,FALSE
"828","Al",0.0454,FALSE
"829","TOC",1.94,FALSE
"830","NO2",0.25,TRUE
"831","NO3",0.356,FALSE
"832","PO4",0.596,FALSE
"833","K",1.45,FALSE
"834","Ca",35.8,FALSE
"835","Mg",12.4,FALSE
"836","SO4",26.7,FALSE
"837","Fe",0.001,TRUE
"838","Zn",0.00274,FALSE
"839","Cu",0.001,TRUE
"840","Mn",0.001,TRUE
"841","B",0.0247,FALSE
"842","Mo",0.001,TRUE
"843","Ni",0.001,TRUE
"844","Na",9.48,FALSE
"845","Cl",15.7,FALSE
"846","Al",0.0374,FALSE
"847","TOC",1.65,FALSE
"848","NO2",0.25,TRUE
"849","NO3",0.355,FALSE
"850","PO4",0.641,FALSE
"851","K",1.35,FALSE
"852","Ca",33.6,FALSE
"853","Mg",11.6,FALSE
"854","SO4",26.8,FALSE
"855","Fe",0.001,TRUE
"856","Zn",0.001,TRUE
"857","Cu",0.001,TRUE
"858","Mn",0.001,TRUE
"859","B",0.0241,FALSE
"860","Mo",0.001,TRUE
"861","Ni",0.001,TRUE
"862","Na",9.07,FALSE
"863","Cl",15.8,FALSE
"864","Al",0.0409,FALSE
"865","TOC",1.61,FALSE
"866","NO2",0.25,TRUE
"867","NO3",0.389,FALSE
"868","PO4",0.651,FALSE
"869","K",1.4,FALSE
"870","Ca",35,FALSE
"871","Mg",12.1,FALSE
"872","SO4",27.7,FALSE
"873","Fe",0.0188,FALSE
"874","Zn",0.00693,FALSE
"875","Cu",0.00111,FALSE
"876","Mn",0.001,TRUE
"877","B",0.0245,FALSE
"878","Mo",0.00117,FALSE
"879","Ni",0.001,TRUE
"880","Na",9.33,FALSE
"881","Cl",17.2,FALSE
"882","Al",0.0368,FALSE
"883","TOC",0.57,FALSE
"884","NH4",0.15,TRUE
"885","NO2",0.03,TRUE
"886","NO3",11.8,FALSE
"887","PO4",0.115,FALSE
"888","K",14,FALSE
"889","Ca",77,FALSE
"890","Mg",19,FALSE
"891","SO4",126,FALSE
"892","Fe",0.015,TRUE
"893","Zn",0.1,TRUE
"894","Cu",0.015,TRUE
"895","Mn",0.015,TRUE
