Reference_ID,Treatment_ID,tankV_m3,tankN,totalV_m3,density_kg_m3,biomass_kg,exchRate,FR,CP,rearingV_m3,dailyFeed_kg_d,freshwater_m3_d,waterExPerFeed_L_kg
Medina2016,Control,0.15,1,0.15,3.58933333333333,0.5384,NA,0.0645,0.4,0.15,0.0347268,NA,NA
Medina2016,Alternative,0.15,1,0.15,3.58933333333333,0.5384,NA,0.0645,0.32,0.15,0.0347268,NA,NA
Schmautz2016,NFT,2.7,1,4.12,4.9368932038835,20.34,0.004,NA,NA,2.7,NA,0.01648,NA
Schmautz2016,Raft,2.7,1,4.12,4.9368932038835,20.34,0.004,NA,NA,2.7,NA,0.01648,NA
Schmautz2016,Drip,2.7,1,4.12,4.9368932038835,20.34,0.004,NA,NA,2.7,NA,0.01648,NA
Knaus2020,GrowPipe,1,9,13,5.49230769230769,71.4,NA,0.0159,0.44,9,1.1352600000000002,NA,NA
Knaus2020,Raft,1,9,13,5.49230769230769,71.4,NA,0.0159,0.44,9,1.1352600000000002,NA,NA
Knaus2020,Gravel,1,9,13,5.49230769230769,71.4,NA,0.0159,0.44,9,1.1352600000000002,NA,NA
Pasch2021,Aeroponics,1,9,13,6.60898153846154,85.91676,NA,NA,0.42,9,NA,NA,NA
Pasch2021,DRF,1,9,13,6.60898153846154,85.91676,NA,NA,0.42,9,NA,NA,NA
Pasch2021,Raft,1,9,13,6.60898153846154,85.91676,NA,NA,0.42,9,NA,NA,NA
Pasch2021a,DRF,1,9,13,7.12740753846154,92.656298,NA,NA,0.42,9,NA,NA,NA
Pasch2021a,Raft,1,9,13,7.12740753846154,92.656298,NA,NA,0.42,9,NA,NA,NA
Pasch2021a,GrowPipe,1,9,13,7.12740753846154,92.656298,NA,NA,0.42,9,NA,NA,NA
