Id;Type;Month;Pond;C14:0;C14:1;C16:0;C18:0;C18:1;LIN;GLA;ALA;SDA;ARA;EPA;DHA;FAME;LCPUFA;SCPUFA;SFA;MUFA;PUFA;BFA;TFA;n3;n6;dw;filter;;;;TL
B2;Insect;June;Eng;2.114689127;0.009526157;39.15557237;10.64440147;18.27302751;8.263106565;0.147153576;28.35854981;7.702051797;0.510505988;9.514239308;0;132.2;10.77253935;44.47086175;52.69196121;22.20462027;55.24340109;3.985520144;0.070731045;46.2201758;9.023225299;;;;;;
B3;Insect;June;Eng;1.183092718;0;9.366107692;7.898305409;8.901814878;6.237985107;0.294855173;5.052342682;0.509084204;1.745503436;9.924970456;0.141023831;59.13;12.16691132;12.26865298;20.36329134;13.53411976;24.43556431;7.282497737;0.148657574;15.86811606;8.567448254;;;;;;
B10;Insect;June;Ger;1.369375718;0.036534064;13.93425264;8.546909758;8.943225223;11.58930053;0.207595681;2.102242865;0.229861215;1.715451141;4.917269141;0.078884723;61.92;7.29940407;14.35849956;25.48495274;13.50441063;21.65790363;4.573703191;0.084783163;7.730153201;13.92775043;;;;;;
B11;Insect;June;Ger;1.138779391;0;13.91518663;6.429248657;10.1498514;7.600764135;0.19002024;2.20648106;0.439385581;1.317804252;4.90982798;0.640521897;56.35;7.404969073;10.5546846;22.99994494;13.81995088;17.95965367;5.015597941;0.072259447;8.615115891;9.344537786;;;;;;
B12;Insect;June;Ger;0.921505317;0;11.96462311;7.986241565;6.517438434;5.266064783;0.16632021;1.966821061;0.392300753;1.275414716;4.467919606;0.163796411;46.87;6.303886532;8.031449872;22.58758303;8.971185038;14.3353364;4.586480643;0.101080373;7.309508602;7.0258278;;;;;;
B7;Insect;June;Herr;1.450139877;0.203860015;13.60636205;7.026727989;20.63638756;7.941151955;0.1819245;5.239231115;0.264030908;2.924109155;6.431377039;0.070553509;75.81;10.4125241;13.83769113;23.38585578;27.08631072;24.25021524;9.224503263;0.089437311;12.89746334;11.3527519;;;;;;
B8;Insect;June;Herr;0.900197127;0;15.27886878;7.82120463;11.67323028;8.126259363;0.174712687;4.540857719;0.285503485;2.210719307;7.863671832;0.103023756;65.99;10.71849409;13.34880487;25.91527269;14.60387707;24.06729895;7.450256267;0.081909293;13.18503749;10.88226147;;;;;;
B9;Insect;June;Herr;0.791560629;0.025853371;14.67437225;8.359484018;11.47326225;5.713087019;0.283669143;5.741587998;0.443566179;2.751110588;13.23621725;0.147925554;70.65;16.69002221;12.69405547;25.81453223;14.51948858;29.38407768;8.139494488;0.153547903;19.9538017;9.430275978;;;;;;
B13;Insect;June;Jag;0.900900308;0.028473455;12.46616162;6.894470426;11.02838273;5.39020801;0.218283484;6.022009562;0.376746465;2.218549732;10.06310036;0.375986015;61.82;13.34091641;12.36450169;22.07394801;13.11742216;25.70541809;7.634172102;0.106569369;17.34164096;8.363777131;;;;;;
B14;Insect;June;Jag;2.09841996;0.058747209;20.29512293;8.371374172;14.01884129;6.652889239;0.223440282;5.719898022;0.550475187;0.816570015;2.20185049;0;69.06;3.284155189;13.40930764;31.91849069;19.28370182;16.69346283;6.161742916;0.049784741;8.699715829;7.993747007;;;;;;
B15;Insect;June;Jag;0.923357979;0;9.314352318;6.335672275;6.409824841;5.414753851;0.105505196;2.802907568;0.171356479;1.164566568;4.542043834;0.085128264;42.72;6.052389373;8.494523095;18.20911651;8.984879692;14.54691247;5.000469267;0.057992347;7.79651014;6.750402332;;;;;;
B18;Insect;June;Kieb;1.17188059;0.008353578;12.68835145;8.538460441;5.089310908;6.169565332;0.208837799;13.74006433;0.431817168;0.606288999;4.754084399;0;56.85;5.621478008;21.04298156;22.90349521;6.648569003;26.66445957;2.004527052;0.150345373;19.16734214;7.497117425;;;;;;
